organization_id,organization_name,profile_version,service_family_id,service_family,capability_id,capability_name,capability_description,delivery_modes,target_sectors,lifecycle_stages,positive_keywords,strong_match_phrases,exclusion_keywords,related_roles,methods_technologies,default_priority,source_basis,source_url,confidence,active,notes
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF02,Custom Development & System Integration,ICM-CDI-005,Systems Integration and API Enablement,"Connect custom, commercial, cloud, on-premises, ERP, CRM, financial, and legacy systems to improve data exchange and workflow continuity.",Architecture;Implementation;Integration,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Design;Development;Integration;Testing,system integration;systems integration;API integration;data exchange;middleware;interface development;ERP integration;CRM integration,integrate disparate systems;API and system integration;connect cloud and legacy systems,website content writing only;graphic design only;hardware installation only;construction engineering,Integration Architect;Integration Engineer;API Developer;Solution Architect;Data Engineer,APIs;middleware;data mapping;interface contracts;ERP;CRM;financial systems;cloud and on-prem integration,High,Official ICM service page,https://icmsol.com/custom-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF02,Custom Development & System Integration,ICM-CDI-006,Data Migration and Deployment,"Plan and support data migration, production deployment, environment configuration, access setup, and transition into operational use.",Implementation;Migration;Deployment Support,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Migration;Testing;Deployment;Transition,data migration;system deployment;production deployment;environment configuration;cutover;implementation,migrate data;deploy application to production;production cutover,website content writing only;graphic design only;hardware installation only;construction engineering,Data Engineer;Deployment Engineer;Technical Lead;Project Manager;QA Engineer,Migration planning;data validation;cutover planning;environment setup;access and permissions;deployment runbooks,Medium,Official ICM service page,https://icmsol.com/custom-development,High,TRUE,Final production authorization remains with the client.
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF02,Custom Development & System Integration,ICM-CDI-007,Application Maintenance and Support,"Provide ongoing technical support, updates, issue resolution, optimization, and enhancements after implementation.",Maintenance;Support;Enhancement,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Operations;Maintenance;Enhancement,application maintenance;application support;production support;software enhancement;technical support;bug fix,ongoing application support;maintenance and enhancements;post-deployment support,website content writing only;graphic design only;hardware installation only;construction engineering,Application Support Engineer;Software Developer;Technical Lead;QA Engineer,Issue triage;patching;enhancement backlog;performance optimization;knowledge transfer,Medium,Official ICM service page,https://icmsol.com/custom-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF03,Project Management,ICM-PM-001,Project and Program Management,"Lead complex technology projects and programs from initiation through closure using structured, adaptive delivery methods.",Advisory;Delivery Leadership;Management,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Initiation;Planning;Execution;Monitoring;Closure,project management;program management;technology project;IT project manager;program manager;project delivery,IT project management;technology program management;project delivery leadership,construction project management only;event planning;clinical case management;property management,Project Manager;Program Manager;Delivery Manager;Technical Project Manager,PMBOK;Waterfall;Agile;hybrid delivery;governance;status reporting,High,Official ICM service page; official ICM industries page,https://icmsol.com/project-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF03,Project Management,ICM-PM-002,PMO and Governance Support,"Establish or support project-management offices, governance structures, decision forums, standards, and portfolio reporting.",Advisory;PMO Support;Governance,State government;Local government;Public sector;Private sector,Initiation;Planning;Governance;Monitoring,PMO;project management office;program governance;portfolio governance;project standards;governance framework,PMO support;project governance;program management office,construction project management only;event planning;clinical case management;property management,PMO Lead;Program Manager;Portfolio Manager;Project Controls Analyst,Governance charters;decision rights;standards;portfolio reporting;stage gates;templates,High,Official ICM industries page; prior ICM capstone and business context,https://icmsol.com/industries,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF03,Project Management,ICM-PM-003,"Project Planning, Scheduling, Budget, and Resource Management","Develop and maintain integrated plans, schedules, budgets, resource assignments, milestones, and delivery baselines.",Planning;Delivery Management;Project Controls,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Planning;Execution;Monitoring,project plan;schedule management;budget management;resource management;milestone planning;project controls,integrated project schedule;project budget and resources;project planning and controls,construction project management only;event planning;clinical case management;property management,Project Manager;Project Scheduler;Project Controls Analyst;Program Manager,Work breakdown structures;critical path;schedule baselines;budget tracking;resource planning,High,Official ICM service page,https://icmsol.com/project-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF03,Project Management,ICM-PM-004,"Risk, Issue, Dependency, and Change Control","Identify, analyze, track, escalate, and manage project risks, issues, dependencies, decisions, and controlled changes.",Advisory;Delivery Management;Project Controls,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Planning;Execution;Monitoring;Control,risk management;issue management;dependency management;change control;RAID log;decision log,project risk and issue management;integrated RAID management;change-control process,construction project management only;event planning;clinical case management;property management,Project Manager;Program Manager;Risk Manager;Project Controls Analyst,RAID logs;probability-impact assessment;escalation;change requests;decision tracking,High,Official ICM service page; prior ICM capstone and business context,https://icmsol.com/project-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF03,Project Management,ICM-PM-005,Stakeholder Communication and Executive Reporting,"Coordinate stakeholders and provide clear progress, risk, financial, schedule, and decision reporting.",Advisory;Delivery Management;Reporting,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Initiation;Execution;Monitoring;Closure,stakeholder management;executive reporting;status report;governance meeting;project communication;steering committee,executive status reporting;stakeholder communication plan;steering committee support,construction project management only;event planning;clinical case management;property management,Project Manager;Program Manager;PMO Analyst;Communications Lead,Status dashboards;executive briefings;meeting facilitation;decision tracking;communications planning,High,Official ICM service page,https://icmsol.com/project-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF03,Project Management,ICM-PM-006,"Waterfall, Agile, Hybrid, and Client-Specific Delivery","Select and apply an appropriate delivery methodology based on requirements stability, risk, complexity, and client environment.",Advisory;Delivery Leadership,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Planning;Execution;Monitoring,Waterfall;Agile;hybrid methodology;mixed methodology;delivery methodology;project lifecycle,Waterfall Agile hybrid delivery;methodology selection;client-specific delivery approach,construction project management only;event planning;clinical case management;property management,Project Manager;Program Manager;Scrum Master;Delivery Lead,Waterfall;Agile;Scrum;hybrid;custom client lifecycle;stage gates,High,Official ICM service page,https://icmsol.com/project-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF03,Project Management,ICM-PM-007,Independent Verification and Validation,"Provide objective oversight of project governance, management, requirements, design, development, testing, implementation, and operational readiness.",Independent Oversight;Assessment;Advisory,State government;Local government;Public sector,Planning;Execution;Monitoring;Testing;Deployment;Operations Readiness,IV&V;independent verification and validation;independent oversight;project assurance;quality oversight;technical oversight,independent verification and validation;IV&V services;independent project oversight,construction project management only;event planning;clinical case management;property management,IV&V Lead;IV&V Analyst;Project Management Advisor;Technical Reviewer;Quality Manager,Independent assessment;risk and issue reporting;artifact review;traceability;standards-based evaluation,High,Official ICM contract-staffing page; official ICM industries page; prior ICM capstone context,https://icmsol.com/industries,High,TRUE,A central ICM public-sector capability supported by current and prior engagements.
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF04,Software Testing & QA Engineering,ICM-QA-001,QA and Test Strategy,"Define testing objectives, scope, risk-based approach, environments, tools, resources, coverage, and reporting.",Advisory;Quality Engineering;Assessment,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Planning;Requirements;Test Preparation,test strategy;test plan;quality assurance strategy;QA planning;test scope;risk-based testing,software test strategy;QA and test planning;quality engineering plan,manufacturing quality control only;laboratory QA;construction inspection;food quality assurance,QA Lead;Test Manager;Quality Engineer;Business Analyst,Risk-based testing;coverage planning;test governance;environment strategy;entry and exit criteria,High,Official ICM service page,https://icmsol.com/software-testing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF04,Software Testing & QA Engineering,ICM-QA-002,Functional Testing,"Design and execute tests that verify application features, workflows, and user interactions against requirements.",Quality Engineering;Manual Testing;Automation,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Test Design;Test Execution;Defect Resolution,functional testing;system testing;user workflow testing;requirements validation;test case execution,functional software testing;validate application requirements;end-to-end functional test,manufacturing quality control only;laboratory QA;construction inspection;food quality assurance,QA Analyst;Test Engineer;Business Analyst;Automation Engineer,Test cases;requirements traceability;manual testing;automated functional testing;defect verification,High,Official ICM service page,https://icmsol.com/software-testing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF04,Software Testing & QA Engineering,ICM-QA-003,Integration and Interface Testing,"Verify that system components, APIs, interfaces, data exchanges, and external integrations operate correctly together.",Quality Engineering;Integration Testing;Automation,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Integration;Test Execution;Regression,integration testing;interface testing;API testing;system integration test;data exchange validation,API integration testing;system interface testing;end-to-end integration test,manufacturing quality control only;laboratory QA;construction inspection;food quality assurance,Integration Test Engineer;QA Engineer;API Tester;Data Analyst,API testing;interface validation;data reconciliation;service virtualization;end-to-end testing,High,Official ICM service page,https://icmsol.com/software-testing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF04,Software Testing & QA Engineering,ICM-QA-004,"Performance, Load, Stress, and Scalability Testing","Assess responsiveness, stability, capacity, and scalability under expected and adverse workloads.",Quality Engineering;Performance Testing,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Test Planning;Performance Test;Release Readiness,performance testing;load testing;stress testing;scalability testing;capacity testing;response time,software performance and scalability testing;load and stress testing;performance benchmark,manufacturing quality control only;laboratory QA;construction inspection;food quality assurance,Performance Test Engineer;QA Engineer;Solution Architect;Technical Lead,Load models;response-time measurement;throughput;resource monitoring;capacity analysis,High,Official ICM service page,https://icmsol.com/software-testing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF04,Software Testing & QA Engineering,ICM-QA-005,"Nonfunctional, Security, and Usability Testing","Evaluate nonfunctional quality attributes such as security, reliability, usability, compatibility, and resilience.",Quality Engineering;Assessment,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Test Design;Test Execution;Release Readiness,nonfunctional testing;security testing;usability testing;compatibility testing;reliability testing;resilience testing,nonfunctional software testing;security and usability testing;application reliability testing,manufacturing quality control only;laboratory QA;construction inspection;food quality assurance,QA Engineer;Security Tester;Usability Analyst;Technical Lead,Nonfunctional requirements;security test coordination;usability scenarios;compatibility matrices;reliability checks,Medium,Official ICM service page,https://icmsol.com/software-testing,High,TRUE,"Security testing is limited to authorized, scoped activities."
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF04,Software Testing & QA Engineering,ICM-QA-006,Mobile Application Testing,"Test mobile applications across devices, operating systems, screen sizes, connectivity conditions, and supported user journeys.",Quality Engineering;Mobile Testing;Automation,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Test Design;Test Execution;Regression,mobile testing;iOS testing;Android testing;cross-platform testing;device testing;mobile application QA,mobile application testing;iOS and Android QA;cross-platform mobile testing,manufacturing quality control only;laboratory QA;construction inspection;food quality assurance,Mobile Test Engineer;QA Analyst;Automation Engineer;Mobile Developer,iOS;Android;cross-platform testing;device matrix;network-condition testing,Medium,Official ICM service page,https://icmsol.com/software-testing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF04,Software Testing & QA Engineering,ICM-QA-007,"Test Automation, Regression, Defect Management, and Reporting","Automate repeatable tests, execute regression suites, manage defects through closure, and report quality metrics and findings.",Quality Engineering;Automation;Reporting,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Test Execution;Regression;Defect Resolution;Reporting,test automation;automated testing;regression testing;defect management;bug tracking;test reporting;quality metrics,automated regression testing;software defect management;QA metrics and reporting,manufacturing quality control only;laboratory QA;construction inspection;food quality assurance,Automation Engineer;QA Lead;Test Manager;Defect Manager,Automation frameworks;regression suites;defect lifecycle;coverage metrics;defect trends;test dashboards,High,Official ICM service page,https://icmsol.com/software-testing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF05,Agile Development,ICM-AGL-001,Agile and Scrum Delivery,"Deliver technology products iteratively through cross-functional teams, short sprints, frequent feedback, and working increments.",Delivery;Implementation;Coaching,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Initiation;Planning;Development;Review;Delivery,Agile development;Scrum;iterative delivery;sprint;cross-functional team;incremental delivery,Agile and Scrum delivery;iterative software development;rapid incremental delivery,agile marketing only;athletic training;general coaching without technology delivery;construction lean only,Scrum Master;Product Owner;Agile Project Manager;Developer;Business Analyst;QA Engineer,Scrum;sprints;daily standups;incremental delivery;product increments;continuous feedback,High,Official ICM service page,https://icmsol.com/agile-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF05,Agile Development,ICM-AGL-002,Product Backlog and User Story Development,"Create and prioritize product backlogs, epics, features, user stories, acceptance criteria, enhancements, and fixes.",Analysis;Product Management;Agile Delivery,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Initiation;Backlog Development;Planning,product backlog;user stories;acceptance criteria;epic;feature prioritization;backlog refinement,create product backlog;develop user stories;prioritize features by business value,agile marketing only;athletic training;general coaching without technology delivery;construction lean only,Product Owner;Business Analyst;Business Systems Analyst;Scrum Master,User stories;acceptance criteria;backlog refinement;business-value prioritization,High,Official ICM service page,https://icmsol.com/agile-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF05,Agile Development,ICM-AGL-003,Sprint Planning and Scrum Facilitation,"Facilitate sprint planning, daily standups, workload commitment, impediment removal, and team coordination.",Facilitation;Delivery Management;Coaching,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Sprint Planning;Development;Monitoring,sprint planning;daily standup;Scrum facilitation;Scrum Master;impediment removal;sprint commitment,facilitate sprint planning;Scrum Master services;daily stand-up facilitation,agile marketing only;athletic training;general coaching without technology delivery;construction lean only,Scrum Master;Agile Project Manager;Product Owner;Delivery Lead,Sprint goals;capacity planning;daily Scrum;impediment tracking;team facilitation,High,Official ICM service page,https://icmsol.com/agile-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF05,Agile Development,ICM-AGL-004,"Sprint Review, Retrospective, and Continuous Improvement","Demonstrate increments, gather stakeholder feedback, assess team performance, and identify practical process improvements.",Facilitation;Assessment;Coaching,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Review;Retrospective;Improvement,sprint review;sprint retrospective;continuous improvement;lessons learned;stakeholder demo;Agile metrics,sprint review and retrospective;Agile continuous improvement;inspect and adapt,agile marketing only;athletic training;general coaching without technology delivery;construction lean only,Scrum Master;Product Owner;Agile Coach;Team Lead,Sprint demos;retrospectives;action items;velocity and flow review;process improvement,High,Official ICM service page,https://icmsol.com/agile-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF05,Agile Development,ICM-AGL-005,Incremental Release and Value Delivery,"Plan and deliver small, functional product increments that provide early value and enable frequent stakeholder validation.",Delivery;Implementation;Release Planning,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Development;Review;Release;Feedback,incremental delivery;release planning;minimum viable product;working increment;frequent release;time to market,deliver working product increments;incremental release planning;rapid value delivery,agile marketing only;athletic training;general coaching without technology delivery;construction lean only,Product Owner;Release Manager;Scrum Master;Development Lead;QA Lead,Release planning;definition of done;increment demonstrations;feedback loops;prioritized value delivery,High,Official ICM service page,https://icmsol.com/agile-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF05,Agile Development,ICM-AGL-006,"Agile Coaching, Adoption, and Knowledge Transfer","Help organizations adopt sustainable Agile practices through role definition, training, coaching, tools, and knowledge transfer.",Advisory;Coaching;Training,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Assessment;Adoption;Training;Sustainment,Agile coaching;Scrum training;Agile adoption;knowledge transfer;Agile transformation;team coaching,Agile adoption and coaching;Scrum knowledge transfer;train teams in Agile practices,agile marketing only;athletic training;general coaching without technology delivery;construction lean only,Agile Coach;Scrum Master;Trainer;Change Manager;Product Owner,Agile principles;Scrum roles;team coaching;workshops;knowledge transfer;continuous improvement,High,Official ICM service page,https://icmsol.com/agile-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF06,Organizational Change Management & Training,ICM-OCM-001,Change Impact and Readiness Assessment,"Assess how technology, process, or organizational changes affect roles, departments, stakeholders, readiness, and resistance.",Assessment;Advisory,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Discovery;Impact Assessment;Readiness Assessment,change impact assessment;organizational readiness;readiness assessment;resistance assessment;change impacts,assess change impact;organizational change readiness;employee readiness assessment,clinical change management;cash management;configuration management only;organizational psychology research only,Change Manager;OCM Analyst;Business Analyst;Training Lead,Impact analysis;readiness surveys;stakeholder analysis;resistance assessment;role mapping,High,Official ICM service page,https://icmsol.com/organizational-change-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF06,Organizational Change Management & Training,ICM-OCM-002,Change Strategy and Roadmap,"Develop a tailored strategy, milestones, metrics, change-agent approach, training plan, and implementation roadmap.",Advisory;Strategy;Roadmap Development,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Strategy;Planning;Implementation Preparation,change strategy;change management plan;OCM roadmap;change milestones;change metrics;change agents,organizational change strategy;change management roadmap;change implementation plan,clinical change management;cash management;configuration management only;organizational psychology research only,Change Manager;OCM Lead;Communications Lead;Training Lead;Program Manager,Change strategy;milestone planning;change-agent network;training strategy;adoption metrics,High,Official ICM service page,https://icmsol.com/organizational-change-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF06,Organizational Change Management & Training,ICM-OCM-003,Stakeholder Engagement and Change Communications,"Identify stakeholders, build support, facilitate workshops, gather feedback, and communicate objectives, benefits, and impacts.",Advisory;Facilitation;Communications,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Planning;Engagement;Implementation;Sustainment,stakeholder engagement;change communication;communication plan;stakeholder workshop;change champion;buy-in,change communication plan;stakeholder engagement strategy;change champion network,clinical change management;cash management;configuration management only;organizational psychology research only,Change Manager;Communications Lead;Stakeholder Engagement Lead;Facilitator,Stakeholder mapping;workshops;communication channels;feedback loops;leadership engagement,High,Official ICM service page,https://icmsol.com/organizational-change-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF06,Organizational Change Management & Training,ICM-OCM-004,Training Needs Analysis and Training Plan,"Identify required knowledge and skills, define audiences and learning objectives, and create tailored training plans and support models.",Assessment;Training Design;Advisory,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Needs Analysis;Curriculum Design;Implementation Preparation,training needs analysis;training plan;learning objectives;curriculum design;skills gap;training strategy,training needs assessment;technical training plan;role-based learning plan,clinical change management;cash management;configuration management only;organizational psychology research only,Training Lead;Instructional Designer;Change Manager;Subject Matter Expert,Audience analysis;skills-gap assessment;curriculum design;learning objectives;delivery planning,High,Official ICM service page,https://icmsol.com/organizational-change-management,High,TRUE,
