risk_id,risk_statement,risk_consequence,control_id,control_name,control_types,trigger,action,human_route,test_scenario
R-020,"If counterevidence is omitted, reviewers may receive a biased pursuit recommendation.",The organization could commit resources without understanding disqualifiers or material risks.,SG-020,Counterevidence completeness gate,preventive; detective; disclosure,Known counterevidence exists but is absent from the recommendation packet.,fail_closed,Business Development or Specialist Reviewer,SCN-SG-020
R-021,"If incomplete recommendations reach humans, limitations and required reviews may be hidden.",A human may treat a partial advisory output as a complete decision basis.,SG-021,Recommendation schema and completeness gate,preventive; detective,The recommendation fails the required JSON Schema or packet completeness checks.,fail_closed,Technical Reviewer,SCN-SG-021
R-022,"If unsupported claims are allowed, plausible language may be mistaken for evidence.","The system could hallucinate qualifications, requirements, or risk conclusions.",SG-022,Evidence-linked claim enforcement,preventive; detective,"A material recommendation claim lacks a recorded source, rule, model artifact, or validated evidence reference.",fail_closed,Opportunity Analyst,SCN-SG-022
R-023,"If the system speaks with organizational authority, users may bypass human governance.","Proposals, staffing, pricing, or contract positions could be treated as approved when they are not.",SG-023,Nonbinding language enforcement,preventive; detective; disclosure,"Recommendation text contains binding approval, authorization, acceptance, or final-decision language.",block,Business Development or Executive Reviewer,SCN-SG-023
R-024,"If finalization can occur without authorized human review, the recommendation becomes an autonomous decision.",The organization may incur commitments or risks without accountable approval.,SG-024,Authorized human final-disposition requirement,preventive; detective; escalation,A case attempts to reach finalized status without an authorized human disposition and rationale.,defer,Executive Authority,SCN-SG-024
R-025,"If high-consequence issues remain with a general reviewer, material expertise may be absent.","Legal, privacy, security, financial, staffing, or contract risks could be mishandled.",SG-025,Mandatory specialist-review routing,preventive; detective; escalation,A mandatory review trigger is present.,escalate,Configured Qualified Specialist,SCN-SG-025
R-026,"If the framework can perform external actions, an incorrect recommendation could create real commitments.","The system could submit a bid, send a message, accept terms, or incur financial and staffing obligations.",SG-026,Autonomous external-action prohibition,preventive; detective; escalation,"A user, source, model, or tool requests an external write or commitment action.",block,Authorized Human Decision Maker,SCN-SG-026
R-027,"If audit events are malformed or sensitive, traceability may be incomplete or unsafe.","Reviewers may be unable to reconstruct actions, or protected data may be exposed.",SG-027,"Audit schema, sanitization, and hash-chain validation",preventive; detective,"An event fails schema, sanitization, event-hash, or previous-hash validation.",fail_closed,Technical Reviewer,SCN-SG-027
R-028,"If processing continues without audit persistence, outputs become untraceable.",A recommendation or human action could exist without reproducible evidence.,SG-028,Audit persistence fail-closed control,preventive; detective; corrective,Audit persistence fails after the single permitted retry.,fail_closed,Technical Reviewer,SCN-SG-028
R-029,"If failures trigger unbounded retries, execution may become nondeterministic, costly, or misleading.","The workflow could hang, duplicate events, or produce inconsistent results.",SG-029,Bounded retry and deterministic fallback,preventive; detective; corrective,A retryable tool failure occurs or the retry count exceeds one.,fail_closed,Technical Reviewer,SCN-SG-029
R-030,"If the prototype is represented as production-ready, users may deploy it without required governance.","Security, legal, privacy, records, model, and operational controls may be absent.",SG-030,Production-readiness and deployment-boundary disclosure,preventive; detective; disclosure,"Documentation or output claims production readiness, legal sufficiency, or operational authorization.",block,Project Owner,SCN-SG-030
