trace_id,prior_project,source_repository,source_artifact,source_url,original_role,reuse_classification,project7_target,project7_role,runtime_status,transformation,limitations,required_safeguards,validation_evidence,decision,decision_rationale
TR-P2-06,2,https://github.com/icmsol/Capstone-project-2-statistical-analysis,Deterministic service-category and staffing-demand-family classification,https://github.com/icmsol/Capstone-project-2-statistical-analysis/blob/main/analysis.ipynb,Mapped opportunities into transparent ICM-relevant service and staffing categories.,adapted_runtime_reuse,src/analysis/service_alignment.py and src/analysis/historical_context.py (planned),Seed the transparent alignment and staffing-family logic under organization-specific configuration.,planned_for_implementation,"Move rules out of code into profile CSV/JSON and add exact matched terms, exclusions, scores, limitations, and reason codes.",Original categories were designed for ICM and may not transfer to another small business.,SG-002; SG-003; SG-009; SG-010,Project 7 profiles passed shared schema validation and exposed distinct organization-specific capability contexts.,adapt,"The method is retained, while the hard-coded business assumptions are replaced by configuration."
TR-P2-07,2,https://github.com/icmsol/Capstone-project-2-statistical-analysis,Five-year fiscal-period normalization and descriptive statistics,https://github.com/icmsol/Capstone-project-2-statistical-analysis/blob/main/analysis.ipynb,Normalized July 2021 through June 2026 records and produced fiscal-period summaries.,adapted_runtime_reuse,src/analysis/historical_context.py (planned),"Attach bounded source-period, service-category, and staffing-family counts to an opportunity case.",planned_for_implementation,Use only frozen source periods and explicit interpretation and limitations fields.,"Counts do not measure value, labor hours, start date, current demand, or staffing capacity.",SG-005; SG-010,Project 2 README and historical_context.schema.json require source period and descriptive-only limitations.,adapt,The analytical method supports evidence-based context when it remains explicitly non-predictive.
TR-P2-08,2,https://github.com/icmsol/Capstone-project-2-statistical-analysis,Chi-square test and Cramér's V result,https://github.com/icmsol/Capstone-project-2-statistical-analysis/blob/main/Statistical_Analysis_Report.pdf,Tested whether staffing-demand family proportions varied by fiscal quarter.,evaluation_evidence,reports/Integrated_AI_Systems_Synthesis_Report.pdf (future),Demonstrate prior statistical rigor and explain why quarter-specific staffing recommendations are unsupported.,reference_only,Summarize the accepted result and limitation; do not recompute it as a runtime case feature.,The result addresses one historical association and does not generalize to individual opportunities.,SG-010; SG-022,Project 2 reported chi-square p=0.813 and Cramér's V=0.073.,reference,This is valuable synthesis evidence but not a runtime decision feature.
TR-P3-01,3,https://github.com/icmsol/capstone-project-3-applied-machine-learning,modeling.ipynb — train/validation/test and supplier-grouped robustness design,https://github.com/icmsol/capstone-project-3-applied-machine-learning/blob/main/modeling.ipynb,Evaluated a supervised classifier on an untouched test set and an unseen-supplier grouped split.,evaluation_evidence,tests/evaluation/ and reports/Integrated_AI_Systems_Synthesis_Report.pdf (future),Inform leakage-aware integrated evaluation and separation of tuning from final assessment.,reference_only,Adapt the evaluation principle to frozen Project 7 scenarios and organization-profile comparisons.,The Project 3 target and dataset differ from the Project 7 recommendation workflow.,SG-022; SG-030,Project 3 README documents the untouched stratified test set and supplier-grouped robustness test.,reference,The evaluation discipline transfers even though the trained model does not.
TR-P3-02,3,https://github.com/icmsol/capstone-project-3-applied-machine-learning,Feature-exclusion and leakage-control design,https://github.com/icmsol/capstone-project-3-applied-machine-learning/blob/main/modeling.ipynb,"Excluded supplier names, IDs as predictors, certification fields, buyer data, and document identifiers.",design_evidence,docs/Safeguards_and_Fail_Closed_Behavior.md and evaluation design,"Support privacy, leakage, and proxy-feature controls in integrated evaluation.",reference_only,"Translate the principle into scenario design, field allowlists, and audit review.",The excluded fields and risks are specific to FI$Cal transaction classification.,SG-006; SG-007; SG-022,Project 3 README explicitly documents leakage and responsible-use controls.,reference,The control logic is relevant to trustworthy integration even without runtime model reuse.
TR-P3-03,3,https://github.com/icmsol/capstone-project-3-applied-machine-learning,Class-balanced versus standard logistic-regression comparison,https://github.com/icmsol/capstone-project-3-applied-machine-learning/blob/main/modeling.ipynb,Compared controlled candidate configurations using validation F1 and a fixed selection rule.,design_evidence,tests/evaluation/model_and_policy_comparisons.py (future),Support controlled configuration comparisons and explicit selection criteria.,reference_only,"Use as methodological precedent, not as a component or scoring formula.","The binary target is recorded SB/MB designation, not opportunity fit or contract risk.",SG-022; SG-030,Project 3 README documents the candidate configurations and validation selection rule.,reference,The experimental pattern strengthens the portfolio narrative and evaluation design.
TR-P3-04,3,https://github.com/icmsol/capstone-project-3-applied-machine-learning,Final fitted small-business participation classifier,https://github.com/icmsol/capstone-project-3-applied-machine-learning,Predicted recorded SB/MB participation in historical California IT Services transactions.,excluded_from_runtime,No Project 7 runtime target,"Explicitly excluded because its outcome, features, and business question do not match Project 7.",not_used,Retain only reports and evaluation lessons; do not copy the model or use its score.,"It is not a bid/no-bid, eligibility, pursuit-success, or ICM win-probability model.",SG-010; SG-022; SG-030,Project 3 README explicitly disclaims these unsupported uses.,exclude,Using the classifier would create target mismatch and misleading decision evidence.
TR-P4-01,4,https://github.com/icmsol/capstone-project-4-deep-learning-systems,selected_clause_classifier.pt,https://github.com/icmsol/capstone-project-4-deep-learning-systems,Stored the validation-selected Transformer classifier checkpoint.,executable_reuse,models/project4/selected_clause_classifier.pt,Provide bounded ten-class clause-theme triage on CPU.,committed_and_smoke_tested,"Exported from the executed Project 4 notebook with model configuration, vocabulary, label map, and checksums.","CUAD is commercial-contract data, only ten categories are modeled, and high-confidence errors occur.",SG-011; SG-012; SG-013; SG-014,P1-05 loaded the checkpoint on CPU and produced a finite ten-class probability vector.,retain,This is the strongest directly executable deep-learning asset and has already passed integration smoke testing.
TR-P4-02,4,https://github.com/icmsol/capstone-project-4-deep-learning-systems,token_to_index.json and index_to_token.json,https://github.com/icmsol/capstone-project-4-deep-learning-systems,Defined the Project 4 training vocabulary and inverse mapping.,executable_reuse,models/project4/token_to_index.json and models/project4/index_to_token.json,Reproduce the exact tokenization and input IDs expected by the checkpoint.,committed_and_smoke_tested,Preserved with the exported model package and loaded by the Project 7 smoke test.,Unknown and out-of-vocabulary patterns may increase under public-sector domain shift.,SG-011; SG-013,P1-05 model-package load and prediction succeeded using the committed vocabulary.,retain,The checkpoint is unusable without the exact vocabulary mapping.
TR-P4-03,4,https://github.com/icmsol/capstone-project-4-deep-learning-systems,"model_config.json, tokenizer_config.json, and label_id_to_category.json",https://github.com/icmsol/capstone-project-4-deep-learning-systems,"Recorded architecture, tokenizer, sequence-length, and output-label semantics.",executable_reuse,models/project4/,Reconstruct the classifier and interpret output labels deterministically.,committed_and_smoke_tested,Preserved as immutable package metadata and checked before inference.,The fixed maximum sequence length can truncate long passages.,SG-011; SG-014,"P1-05 verified output shape, finite logits, and probability sum.",retain,These files are essential package contracts rather than optional documentation.
TR-P4-04,4,https://github.com/icmsol/capstone-project-4-deep-learning-systems,validation_selection_metrics.json,https://github.com/icmsol/capstone-project-4-deep-learning-systems,Recorded the validation-based model-selection evidence.,evaluation_evidence,models/project4/validation_selection_metrics.json,Document why the baseline dropout 0.10 checkpoint was selected for Project 7.,committed_and_smoke_tested,Preserved unchanged and referenced in the reusable-asset review.,Validation selection does not imply public-sector legal validity or production performance.,SG-013; SG-030,Project 4 reported validation macro F1 0.8878 for the selected baseline.,reference,The metrics justify the selected artifact while the limitations constrain its use.
TR-P4-05,4,https://github.com/icmsol/capstone-project-4-deep-learning-systems,audit/project4_cpu_smoke_test.json and project4_inference_manifest.json,https://github.com/icmsol/capstone-project-4-deep-learning-systems/blob/main/deep_learning.ipynb,Recorded exported-package integrity and a CPU inference smoke test.,executable_reuse,audit/project4_cpu_smoke_test.json and audit/project4_inference_manifest.json,"Provide package provenance, checksums, output-shape evidence, and CPU viability.",committed_and_smoke_tested,Preserved as Project 7 audit evidence.,"A smoke test confirms technical compatibility, not classification validity on all Project 7 cases.",SG-011; SG-027,Project 7 repository contains both audit files and P1-05 independently repeated CPU inference.,retain,These files directly support reproducibility and reviewer confidence.
TR-P4-06,4,https://github.com/icmsol/capstone-project-4-deep-learning-systems,CUAD grouped-split and controlled-dropout experiment,https://github.com/icmsol/capstone-project-4-deep-learning-systems/blob/main/deep_learning.ipynb,Prevented contract leakage and compared dropout 0.10 versus 0.30 under controlled conditions.,evaluation_evidence,reports/Integrated_AI_Systems_Synthesis_Report.pdf (future),"Support the synthesis discussion of model selection, overfitting, and bounded reuse.",reference_only,Summarize the accepted results and connect them to Project 7 safeguards.,"One seed, one grouped split, ten categories, and commercial-contract domain limit generalization.",SG-013; SG-030,Project 4 README documents the controlled design and key limitations.,reference,"The experiment is portfolio evidence, while only the selected package is a runtime contributor."
TR-P4-07,4,https://github.com/icmsol/capstone-project-4-deep-learning-systems,Project 4 classifier output as legal or procurement authority,https://github.com/icmsol/capstone-project-4-deep-learning-systems,"The original report explicitly prohibited automatic legal, procurement, or pursuit decisions.",excluded_from_runtime,No authoritative decision component,Prevent clause-theme prediction from being treated as legal interpretation or approval.,not_used,Use output only as a review-priority and reviewer-routing cue.,High-confidence errors and public-sector domain shift make authoritative use unsafe.,SG-012; SG-013; SG-023; SG-025,Project 4 README and P2-04 safeguards explicitly require human review and domain disclosure.,exclude,"The model contributes triage, not authority."
TR-P5-01,5,https://github.com/icmsol/capstone-project-5-generative-ai-applications,Official FAR Part 52.2 acquisition and boundary-validation method,https://github.com/icmsol/capstone-project-5-generative-ai-applications/blob/main/generative_ai.ipynb,Acquired an official FAR source and validated clause boundaries and corpus integrity.,design_evidence,src/evidence/corpus_builder.py and audit/corpus_manifest.json (planned),Guide deterministic rebuilding and validation of the Project 7 official evidence corpus.,planned_for_implementation,"Reuse the acquisition, source-boundary, duplicate, and empty-record checks; do not reuse the generator.",The Project 5 corpus and preprocessing were optimized for character generation rather than retrieval chunks.,SG-005; SG-015; SG-017,"Project 5 README reports 610 complete clauses, zero duplicate clause numbers, and zero 52.3 spillover.",adapt,The corpus-governance method is directly relevant to resolving the Project 6 source-recovery gap.
TR-P5-02,5,https://github.com/icmsol/capstone-project-5-generative-ai-applications,Complete-clause train/validation/test partitioning,https://github.com/icmsol/capstone-project-5-generative-ai-applications/blob/main/generative_ai.ipynb,Prevented a clause from appearing in more than one model partition.,design_evidence,tests/evaluation/frozen_scenario_split_manifest.json (future),Inform case- and source-group separation in integrated evaluation.,reference_only,Apply the leakage-control principle to scenario families rather than character windows.,The original split is specific to generative-model training and is not itself a Project 7 dataset.,SG-022; SG-030,Project 5 README documents 488/61/61 complete-clause splits.,reference,The method strengthens evaluation integrity without requiring runtime asset reuse.
TR-P5-03,5,https://github.com/icmsol/capstone-project-5-generative-ai-applications,Controlled generation and decoding comparison,https://github.com/icmsol/capstone-project-5-generative-ai-applications/blob/main/generative_ai.ipynb,"Compared greedy, conservative top-k, and exploratory top-k generation using fixed prompts and seed.",evaluation_evidence,reports/Integrated_AI_Systems_Synthesis_Report.pdf (future),"Provide empirical evidence about repetition, corruption, and authoritative-sounding hallucinations.",reference_only,Use the recorded results in the synthesis and safeguards rationale.,"Generation quality metrics do not establish factual, legal, or operational reliability.",SG-022; SG-023; SG-030,Project 5 reported repetition and human-review differences and documented fabricated citations and obligations.,reference,The failure analysis directly supports Project 7's evidence-linked recommendation design.
TR-P5-04,5,https://github.com/icmsol/capstone-project-5-generative-ai-applications,checkpoints/phase5/selected_model_inference.pt,https://github.com/icmsol/capstone-project-5-generative-ai-applications/blob/main/checkpoints/phase5/selected_model_inference.pt,Stored the selected custom causal Transformer for FAR-style text generation.,excluded_from_runtime,No Project 7 runtime target,Explicitly excluded from the evidence or recommendation workflow.,not_used,Do not copy or invoke the checkpoint.,"The model generated fabricated titles, citations, dates, requirements, and obligations.",SG-016; SG-022; SG-023,Project 5 README states that generated text is not legally valid or approved for operational use.,exclude,A generative checkpoint would add hallucination risk without a necessary Project 7 function.
TR-P5-05,5,https://github.com/icmsol/capstone-project-5-generative-ai-applications,Generated FAR-style language as proposed contract content,https://github.com/icmsol/capstone-project-5-generative-ai-applications,Demonstrated experimental text generation and responsible-use limitations.,excluded_from_runtime,No drafting or clause-generation component,Prevent the integrated system from drafting authoritative contract language.,not_used,Use official retrieval and human-authored summaries instead.,Generated text can sound authoritative while being factually and legally wrong.,SG-016; SG-022; SG-023; SG-025,"Project 5 README and report explicitly prohibit legal, procurement, compliance, or operational use.",exclude,"Project 7 needs evidence retrieval and recommendations, not synthetic authority."
TR-P6-01,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,config/tool_contracts.json,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/config/tool_contracts.json,"Defined deterministic tool purposes, inputs, outputs, and boundaries.",adapted_runtime_reuse,config/contracts/*.contract.json,Seed Project 7's 14 machine-validatable component contracts and deterministic tool obligations.,committed_not_yet_integrated,"Expanded tool contracts into full component contracts with side effects, retries, consumers, and human checkpoints.",Project 6 contracts addressed a narrower FAR review workflow.,SG-001; SG-027; SG-029,P2-03 created and validated 14 contracts and a registry.,adapt,"The governance pattern is foundational, but Project 7 requires broader components and portability."
TR-P6-02,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,config/state_schema.json,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/config/state_schema.json,"Defined persistent case state, lifecycle stages, evidence, confidence, reason codes, and disposition.",adapted_runtime_reuse,config/schemas/integrated_case_state.schema.json,Provide the foundation for the opportunity-to-contract case lifecycle.,committed_not_yet_integrated,"Expanded state with organization context, opportunity analysis, Project 4 predictions, recommendation, and human disposition.",The original schema did not include organization portability or structured procurement context.,SG-001; SG-024; SG-027,P2-02 validated the integrated case schema and rejected finalization without human disposition.,adapt,The Project 6 state model is the strongest governance foundation for Project 7.
TR-P6-03,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,config/reason_codes.json,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/config/reason_codes.json,Provided stable machine-readable explanations for workflow outcomes and failures.,adapted_runtime_reuse,config/system/safeguard_reason_codes.json,"Support fixed, auditable explanations across the integrated workflow.",committed_not_yet_integrated,Expanded the registry to 35 cross-domain reason codes.,Project 6 codes were scoped to evidence review and agent behavior.,SG-001; SG-027,P2-04 validated all safeguard-control references against the new reason-code registry.,adapt,Stable reason codes improve auditability and are retained at broader scope.
TR-P6-04,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,config/safeguard_matrix.md,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/config/safeguard_matrix.md,"Mapped agentic risks to privacy, citation, evidence, conflict, confidence, injection, audit, and human-review controls.",adapted_runtime_reuse,config/system/safeguard_policy.json and docs/P2_04_Risk_Control_Matrix.*,Provide the starting point for Project 7's fixed cross-domain safeguard policy.,committed_not_yet_integrated,"Expanded to 30 fixed controls, 35 reason codes, and 30 frozen trigger scenarios.","Project 6 did not include the structured-data, model-reuse, portability, or recommendation-specific risks.",SG-001; SG-002; SG-030,"P2-04 policy, matrix, and invalid-policy tests passed validation.",adapt,The safeguard discipline is retained and extended rather than reinvented.
TR-P6-05,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,Exact citation lookup and hybrid semantic retrieval design,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/agentic_system.ipynb,Supported exact clause lookup and semantic search over a versioned FAR corpus.,adapted_runtime_reuse,src/evidence/retrieval.py and data/processed/far/ (planned),Provide authoritative evidence retrieval with exact-citation precedence.,planned_for_implementation,"Rebuild the corpus deterministically, version it, validate metadata, and implement local exact and semantic indexes.",The prior public repository does not contain the original processed corpus and the current official page checksum differs.,SG-005; SG-015; SG-016; SG-017,P1-05 confirmed FAC metadata but recorded a checksum warning and prohibited a false recovery claim.,adapt,"The retrieval method is essential, but the corpus must be rebuilt and validated honestly."
TR-P6-06,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,Fail-closed audit logging and persistent case-state pattern,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/agentic_system.ipynb,Stopped or escalated unsafe execution while preserving tool and state history.,adapted_runtime_reuse,src/governance/audit.py and src/orchestration/workflow.py (planned),"Provide append-only audit events, valid transitions, reason codes, and workflow termination controls.",planned_for_implementation,"Implement against the Project 7 audit schema, component contracts, and orchestration policy.",The prior implementation must be expanded to cover all new components and source types.,SG-027; SG-028; SG-029,"P2-02 audit schema, P2-03 audit-writer contract, and P2-04 audit safeguards are committed.",adapt,This is a primary runtime-governance contribution.
TR-P6-07,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,Pydantic AI bounded agent orchestration pattern,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/agentic_system.ipynb,Used structured outputs and controlled deterministic tools for evidence-grounded question handling.,adapted_runtime_reuse,src/orchestration/agent.py (planned optional bounded layer),Coordinate evidence requests and structured recommendation assembly without granting external authority.,planned_for_implementation,Limit agent use to bounded orchestration; deterministic components remain independently testable.,"Model-provider behavior and cost are external dependencies, and the system must function safely when unavailable.",SG-008; SG-022; SG-026; SG-029,"P2-03 defines registered components and P2-04 prohibits injection, unsupported claims, and external actions.",adapt,"Agentic orchestration is useful where it adds coordination, not where deterministic logic is sufficient."
TR-P6-08,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,config/phase7_scenario_matrix.json and phase7 evaluation results,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/config/phase7_scenario_matrix.json,"Defined and executed 16 scenarios covering retrieval, ambiguity, misuse, privacy, security, governance, and resilience.",evaluation_evidence,tests/scenarios/project6_seed_scenarios.json (planned),Seed the Project 7 integrated scenario suite and preserve prior failure-mode coverage.,planned_for_implementation,"Adapt scenarios to opportunity intake, service profiles, Project 4 triage, recommendations, and human disposition.",Prior 16/16 results apply only to the frozen Project 6 candidate and must not be carried forward as Project 7 performance.,SG-030,Project 6 README explicitly limits the applicability of its recorded evaluation.,adapt,"The cases are valuable seeds, but Project 7 requires new integrated execution and metrics."
TR-P6-09,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,Official FAR raw and processed corpus artifacts,https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/data/audit/file_manifest.json,Supported the original Project 6 official evidence index.,superseded,data/raw/far/ and data/processed/far/ (planned rebuilt corpus),"Replace unavailable or checksum-divergent artifacts with a new versioned, validated candidate.",not_used,"Do not claim byte-for-byte recovery; reacquire, preserve, normalize, checksum, compare representative clauses, and version.","The public repository does not contain the original corpus, and the current official page differs from the prior raw checksum.",SG-005; SG-015; SG-017,P1-05 recorded PASS_WITH_WARNING and the exact current and prior checksums.,replace,Source integrity requires a transparent rebuild rather than unsupported reconstruction claims.
TR-P6-10,6,https://github.com/icmsol/capstone-project-6-agentic-contract-review,"Agentic AI reports, traceability matrix, reproducibility validation, and closeout evidence",https://github.com/icmsol/capstone-project-6-agentic-contract-review/blob/main/reports/Agentic_AI_Analysis_Report.pdf,"Documented architecture, evaluation, responsible use, reproducibility, limitations, and rubric traceability.",design_evidence,reports/Integrated_AI_Systems_Synthesis_Report.pdf and final presentation (future),"Support the synthesis narrative, governance rationale, and honest production-readiness boundary.",reference_only,Cite and summarize accepted findings without copying prior performance claims into Project 7.,"The reports evaluate Project 6, not the integrated Project 7 system.",SG-030,"Project 6 repository contains the accepted reports, traceability matrix, and reproducibility evidence.",reference,These artifacts provide strong portfolio continuity and design justification.
