control_id,category,control_name,severity,control_types,action_on_trigger,human_route,reason_codes,mapped_p6_03_risks,governance_residual_gap,organization_override_permitted,test_scenarios
SG-013,model_inference,Model domain-shift escalation,high,detective; escalation; disclosure,escalate,Contracts or Legal Reviewer,MODEL_DOMAIN_SHIFT,GR-06; GR-07,Protects integrity and flags uncertainty/domain shift; the frozen model is not a public-sector legal classifier.,false,SCN-SG-013
SG-014,model_inference,Sequence truncation disclosure,medium,detective; disclosure; escalation,warn,Contracts Reviewer,MODEL_INPUT_TRUNCATED,GR-06; GR-07,Protects integrity and flags uncertainty/domain shift; the frozen model is not a public-sector legal classifier.,false,SCN-SG-014
SG-015,official_evidence,Approved official-corpus gate,critical,preventive; detective,fail_closed,Data or Contracts Reviewer,CORPUS_NOT_APPROVED,GR-08,Prevents unsupported authoritative claims; the registered evidence corpus is intentionally bounded.,false,SCN-SG-015
SG-016,official_evidence,Exact citation precedence and missing-citation abstention,critical,preventive; detective; disclosure,abstain,Contract Analyst,CITATION_NOT_FOUND; CITATION_INVALID,GR-08,Prevents unsupported authoritative claims; the registered evidence corpus is intentionally bounded.,false,SCN-SG-016
SG-017,official_evidence,Evidence freshness and source-version gate,high,detective; corrective; disclosure,defer,Contract or Data Reviewer,SOURCE_STALE; SOURCE_VERSION_CHANGED,GR-08,Prevents unsupported authoritative claims; the registered evidence corpus is intentionally bounded.,false,SCN-SG-017
SG-018,evidence_sufficiency,Minimum relevance and sufficiency threshold,high,preventive; detective; disclosure,abstain,Opportunity or Contract Analyst,EVIDENCE_INSUFFICIENT,GR-08,Requires sufficiency/conflict handling; qualified applicability review remains human.,false,SCN-SG-018
SG-019,evidence_sufficiency,Material-conflict escalation,critical,detective; escalation; disclosure,escalate,Qualified Specialist,EVIDENCE_MATERIAL_CONFLICT,GR-08; GR-09,Requires sufficiency/conflict handling; qualified applicability review remains human.,false,SCN-SG-019
SG-020,evidence_sufficiency,Counterevidence completeness gate,critical,preventive; detective; disclosure,fail_closed,Business Development or Specialist Reviewer,COUNTEREVIDENCE_MISSING,GR-09,Requires sufficiency/conflict handling; qualified applicability review remains human.,false,SCN-SG-020
SG-021,recommendation,Recommendation schema and completeness gate,critical,preventive; detective,fail_closed,Technical Reviewer,RECOMMENDATION_SCHEMA_INVALID,GR-09,Improves traceability and nonbinding framing; human cognitive anchoring remains possible.,false,SCN-SG-021
SG-022,recommendation,Evidence-linked claim enforcement,critical,preventive; detective,fail_closed,Opportunity Analyst,RECOMMENDATION_UNSUPPORTED,GR-03; GR-09; GR-17,Improves traceability and nonbinding framing; human cognitive anchoring remains possible.,false,SCN-SG-022
SG-023,recommendation,Nonbinding language enforcement,critical,preventive; detective; disclosure,block,Business Development or Executive Reviewer,BINDING_DECISION_LANGUAGE_DETECTED,GR-01; GR-09,Improves traceability and nonbinding framing; human cognitive anchoring remains possible.,false,SCN-SG-023
SG-024,human_authority,Authorized human final-disposition requirement,critical,preventive; detective; escalation,defer,Executive Authority,HUMAN_DECISION_REQUIRED; REVIEWER_NOT_AUTHORIZED,GR-01; GR-13; GR-17,Enforces a human decision record; production identity proofing and segregation of duties are not implemented.,false,SCN-SG-024
SG-025,human_authority,Mandatory specialist-review routing,critical,preventive; detective; escalation,escalate,Configured Qualified Specialist,MANDATORY_SPECIALIST_REVIEW,GR-06; GR-07; GR-08; GR-13; GR-16,Enforces a human decision record; production identity proofing and segregation of duties are not implemented.,false,SCN-SG-025
SG-026,external_action,Autonomous external-action prohibition,critical,preventive; detective; escalation,block,Authorized Human Decision Maker,EXTERNAL_ACTION_PROHIBITED,GR-01; GR-14,Eliminates autonomous commitments in the frozen prototype; any future write-capable integration requires reauthorization.,false,SCN-SG-026
SG-027,audit_traceability,"Audit schema, sanitization, and hash-chain validation",critical,preventive; detective,fail_closed,Technical Reviewer,AUDIT_EVENT_INVALID; SENSITIVE_AUDIT_CONTENT_DETECTED,GR-10; GR-15; GR-19; GR-20,"Provides reproducibility controls; production immutable logging, backup, and centralized monitoring remain future work.",false,SCN-SG-027
SG-028,audit_traceability,Audit persistence fail-closed control,critical,preventive; detective; corrective,fail_closed,Technical Reviewer,AUDIT_PERSISTENCE_FAILED; RETRY_LIMIT_EXCEEDED,GR-15; GR-19,"Provides reproducibility controls; production immutable logging, backup, and centralized monitoring remain future work.",false,SCN-SG-028
SG-029,failure_recovery,Bounded retry and deterministic fallback,high,preventive; detective; corrective,fail_closed,Technical Reviewer,RETRY_LIMIT_EXCEEDED,GR-15,Bounds retries and preserves deterministic failure behavior; production availability engineering is not implemented.,false,SCN-SG-029
SG-030,production_boundary,Production-readiness and deployment-boundary disclosure,high,preventive; detective; disclosure,block,Project Owner,PRODUCTION_READINESS_CLAIM_PROHIBITED,GR-18; GR-19; GR-20,Prevents unsupported readiness claims; actual production controls must be separately designed and authorized.,false,SCN-SG-030
